AU565_BREAST
3
83550	72360	72612	83315	80578	55240	33019	9146	4891	2656
88468	82990	87714	82791	83181	76891	32881	7277	2775	3320
80844	81994	82627	71164	65923	22604	2599	2098	2188	1699
31683	47372	40963	22989	7618	2266	1946	1795	1964	2909
4989	6078	5814	2808	2565	1944	1487	1693	2261	2232
2994	2148	2276	1946	2170	1408	1615	2135	2186	2786
83583	87701	87717	89402	81125	77543	34253	12808	5218	3748
84552	92340	87193	83854	80185	68479	27382	9217	2741	2517
78565	83801	84756	77397	67024	27150	3343	1936	2157	2269
46544	55938	41631	28662	9953	2845	2502	1924	2405	1700
7525	10641	4373	4500	2402	1895	1637	2455	1828	2700
3093	2643	2231	1864	2214	2360	2016	1344	3037	2256
79065	81448	81225	80151	84008	73329	28775	12533	4898	2909
77600	82827	77392	84052	80010	74481	25695	8076	2828	2905
76306	82420	81481	76067	67564	28763	2722	1662	2364	2675
43705	54927	33721	35061	8893	2314	2287	2262	2497	2093
8350	9033	3898	2573	1806	2120	1564	1509	2181	1805
2033	2147	2222	1969	1963	1776	1867	2077	2415	2123
